pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1234798490,4.0,55.0,0.0,0,5.0,3.0,0,0.0,0,False,False
1234934450,5.0,63.0,1008.33001708984,0,9.0,4.0,0,6.917042040305734,0,False,False
1235084050,5.0,56.0,798.700012207031,0,,4.0,0,6.684236672602357,0,True,False
1235199690,5.0,41.0,2083.39990234375,3,3.0,6.0,0,7.642236276184046,1,True,False
1235369690,1.0,35.0,2487.69995117188,0,1.0,3.0,1,7.81951574514983,0,False,False
1235750450,6.0,29.0,964.169982910156,1,2.0,1.0,0,6.872304233920158,1,True,False
1235750570,7.0,27.0,1482.90002441406,2,3.0,4.0,0,7.302429052464712,1,False,True
1235825290,6.0,45.0,2226.89990234375,1,3.0,5.0,0,7.708814672903158,0,True,False
1235832090,6.0,62.0,0.0,0,,6.0,0,0.0,1,False,False
1235832130,7.0,31.0,2487.07006835938,2,3.0,6.0,0,7.81926261598638,0,False,True
1235838890,5.0,63.0,952.690002441406,0,9.0,6.0,0,6.860338673612238,0,True,False
1235974890,2.0,55.0,1270.0,0,1.0,3.0,0,7.147559271189454,0,True,False
1236036050,7.0,53.0,1271.67004394531,1,4.0,7.0,0,7.148872369316506,1,False,True
1236036090,7.0,59.0,154.0,1,,7.0,0,5.043425116919247,0,False,False
1236036170,5.0,26.0,463.829986572266,1,3.0,7.0,0,6.141671718457271,1,False,True
1236063250,5.0,43.0,1669.0,2,1.0,5.0,0,7.4205789054108005,0,False,False
1236063290,6.0,32.0,1643.75,2,1.0,5.0,0,7.405343675966107,1,False,False
1236083650,5.0,53.0,3333.330078125,0,1.0,5.0,0,8.112027062046975,0,False,False
1236083690,6.0,52.0,1670.0,0,3.0,5.0,0,7.421177528595393,1,False,False
1236158450,5.0,33.0,651.669982910156,0,2.0,3.0,0,6.481071615477092,1,False,False
1236790850,6.0,25.0,1619.80004882813,4,,6.0,0,7.3906751636203625,1,False,False
1237062850,6.0,36.0,30.0,0,5.0,1.0,1,3.4339872044851463,0,False,False
1237443690,3.0,51.0,2075.0400390625,2,1.0,3.0,1,7.638217530738763,1,False,False
1237498130,4.0,29.0,1851.7900390625,0,1.0,1.0,1,7.524447911210565,1,False,False
